ridge_rank,representative_id,job_title,hr_class,H,W,G,prediction_raw,prediction_display,absolute_target_error,review_band
1,3,Aspiring Human Resources Professional,direct,1.0,0.9555259129895752,0.9777629564947876,0.982369562194203,0.982369562194203,0.0046066056994154,Top 10% review band
2,99,Seeking Human Resources Position,direct,1.0,0.9583494933817124,0.9791747466908562,0.9797740343860927,0.9797740343860927,0.0005992876952364279,Top 10% review band
3,27,Aspiring Human Resources Management student seeking an internship,direct,1.0,0.9406391580979647,0.9703195790489824,0.9789153885722182,0.9789153885722182,0.008595809523235798,Top 10% review band
4,6,Aspiring Human Resources Specialist,direct,1.0,0.9622323985926047,0.9811161992963023,0.9757163720329524,0.9757163720329524,0.005399827263349977,Top 10% review band
5,94,Seeking Human  Resources Opportunities. Open to travel and relocation.,direct,1.0,0.93018848331531,0.965094241657655,0.9748897422201132,0.9748897422201132,0.009795500562458148,Top 20% review band
6,28,Seeking Human Resources Opportunities,direct,1.0,0.9703012885992295,0.9851506442996147,0.9746767108413608,0.9746767108413608,0.010473933458253981,Top 20% review band
7,74,Human Resources Professional,direct,1.0,0.9562646537752031,0.9781323268876015,0.9715424683849538,0.9715424683849538,0.006589858502647705,Top 20% review band
8,71,"Human Resources Generalist at ScottMadden, Inc.",direct,1.0,0.9170625227095749,0.9585312613547874,0.9688959822938629,0.9688959822938629,0.010364720939075478,Top 50% review band
9,73,"Aspiring Human Resources Manager, seeking internship in Human Resources.",direct,1.0,0.9648396165515191,0.9824198082757596,0.964692824764903,0.964692824764903,0.017726983510856553,Top 50% review band
10,10,Seeking Human Resources HRIS and Generalist Positions,direct,1.0,0.9361426702823386,0.9680713351411693,0.9646259279750405,0.9646259279750405,0.0034454071661287333,Top 50% review band
11,88,Human Resources Management Major,direct,1.0,0.9279453615804114,0.9639726807902057,0.9646023382686234,0.9646023382686234,0.0006296574784177,Top 50% review band
12,78,Human Resources Generalist at Schwan's,direct,1.0,0.9154420191129656,0.9577210095564828,0.9628421861092545,0.9628421861092545,0.005121176552771778,Top 50% review band
13,82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,direct,1.0,0.924709643801116,0.962354821900558,0.9618147557318621,0.9618147557318621,0.0005400661686958408,Top 50% review band
14,66,Experienced Retail Manager and aspiring Human Resources Professional,direct,1.0,0.914425010883396,0.957212505441698,0.9614799697562573,0.9614799697562573,0.004267464314559266,Top 50% review band
15,101,Human Resources Generalist at Loparex,direct,1.0,0.9390937163521249,0.9695468581760625,0.9611250013279877,0.9611250013279877,0.008421856848074727,Top 50% review band
16,79,Liberal Arts Major. Aspiring Human Resources Analyst.,direct,1.0,0.9083026091389901,0.954151304569495,0.9598748743701186,0.9598748743701186,0.005723569800623607,Top 50% review band
17,72,Business Management Major and Aspiring Human Resources Manager,direct,1.0,0.920204629699913,0.9601023148499566,0.9590826606262354,0.9590826606262354,0.0010196542237211892,Top 50% review band
18,89,Director Human Resources  at EY,direct,1.0,0.915172183695573,0.9575860918477865,0.9584318672987205,0.9584318672987205,0.0008457754509340054,Below 50% review band
19,76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,direct,1.0,0.9220750438179249,0.9610375219089624,0.9582847878146883,0.9582847878146883,0.002752734094274123,Below 50% review band
20,67,"Human Resources, Staffing and Recruiting Professional",direct,1.0,0.9207559993677541,0.960377999683877,0.952988106059844,0.952988106059844,0.007389893624033084,Below 50% review band
21,68,Human Resources Specialist at Luxottica,direct,1.0,0.9057661808611182,0.9528830904305591,0.9529755506549376,0.9529755506549376,9.246022437847667e-05,Below 50% review band
