current_path,source_state,lifecycle_state,target_path_or_replacement,validation_requirement,deletion_archive_permission,migration_status
.github/workflows/step7-word2vec.yml,current main,REPLACE,README.md + requirements*.txt + cache/model40_* + normal notebook execution; no workflow in frozen target,fresh-clone and cache reconstruction pass without workflow,DELETE AFTER replacement validation,PLANNED
.github/workflows/step8-pca.yml,current main,REPLACE,01_Potential_Talents_Main.ipynb + src/modeling.py,main notebook clean-run + modeling tests pass,DELETE AFTER replacement validation,PLANNED
cache_embeddings.py,current main,REPLACE,src/embeddings.py + src/io_utils.py + cache/model40_required_vectors.npz + cache/model40_cache_metadata.json,cache identity + shape + reconstruction + invalidation tests pass,DELETE AFTER promoted replacement validation,PLANNED
step7.py,current main,REPLACE,src/embeddings.py + src/ranking.py + notebook Sections 7-10,embedding/ranking tests + target G isolation checks,DELETE AFTER replacements validated,PLANNED
step7_input.csv,current main,ARCHIVE,data/raw/potential-talents.csv + data/raw/manual_relevance_labels.csv; all derived H/W/G rebuilt,52->50 identities and hashes reconciled,ARCHIVE after raw-source restoration validated,PLANNED
step8.py,current main,REPLACE,src/modeling.py + notebook Sections 8-11,"modeling tests prove PCA(0.95, full)->StandardScaler->Ridge ordering and bookkeeping",DELETE AFTER replacement validation,PLANNED
[history] potential-talents.csv,historical ref 210822c7...,REUSE,data/raw/potential-talents.csv,"content hash, schema and 104-row/52-title invariants pass",PRESERVE as authoritative raw data,PLANNED
[history] unique-job-titles-labelled.csv,historical ref 210822c7...,REUSE,data/raw/manual_relevance_labels.csv,"52 rows, unique IDs/titles, grades 0-3, no pipeline dependency",PRESERVE under renamed authoritative raw path,PLANNED
[history] 01_data_rule_based_ranking.ipynb,historical ref 210822c7...,ARCHIVE,00_Project_Audit_and_Setup.ipynb prototypes + src/data_pipeline.py + src/hr_rules.py,promoted logic independently tested against locked methodology,ARCHIVE in Git history only; do not restore as third notebook,PLANNED
[history] 02_stage1_word2vec.ipynb,historical ref 210822c7...,ARCHIVE,00 audit notebook + src/embeddings.py + main notebook Sections 7-10,Model40 identity and deterministic reconstruction pass,ARCHIVE in Git history only,PLANNED
[history] 03_recruiter_feedback.ipynb,historical ref 210822c7...,ARCHIVE,src/feedback.py + main notebook Sections 12-13,feedback locks/no-op/multiset tests pass,ARCHIVE in Git history only,PLANNED
[history] README.md,historical ref 210822c7...,REPLACE,README.md,release synchronization + reproduction procedure validation,REPLACE after new README validated,PLANNED
[history] Technical_Report.pdf,historical ref 210822c7...,ARCHIVE,reports/Technical_Report.md + reports/Technical_Report.pdf,Markdown authoritative; PDF deterministic and semantically validated,ARCHIVE old PDF in history only,PLANNED
[history] Business_Recommendations.pdf,historical ref 210822c7...,ARCHIVE,reports/Business_Recommendations.md + reports/Business_Recommendations.pdf,user-approved substantive claims + deterministic PDF,ARCHIVE old PDF in history only,PLANNED
[history] requirements.txt,historical ref 210822c7...,REPLACE,requirements.txt + requirements-lock.txt,clean environment install + test/run success,REPLACE after lock validated,PLANNED
[history] .gitignore,historical ref 210822c7...,REPLACE,.gitignore,release inventory contains no forbidden transient files,REPLACE after policy validation,PLANNED
